departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro
76,valle del cauca,76306,GINEBRA,EDS TERPEL SABALETAS,TERPEL,CORREGIMIENTO SABALETAS SOBRE VIA PANAMERICANA,GASOLINA CORRIENTE OXIGENADA,8730,1,2018-05-03T00:00:00.000
5,antioquia,5093,BETULIA,EDS SERVICENTRO LA PERSEVERANCIA,ZEUSS,CALLE 11 B NO. 11-104,GASOLINA CORRIENTE OXIGENADA,10100,1,2018-05-03T00:00:00.000
5,antioquia,5837,TURBO,SERVICENTRO CASANOVA,TERPEL,SECTOR CASANOVA KILOMETRO 2 VIA TURBO-APARTADO,GASOLINA EXTRA OXIGENADA,12050,1,2018-05-03T00:00:00.000
5,antioquia,5088,BELLO,ESTACION DE SERVICIO MOBIL LOS ANGELES,MOBIL,Calle 20E No. 45-39,GASOLINA EXTRA OXIGENADA,11640,1,2018-05-03T00:00:00.000
5,antioquia,5284,FRONTINO,COOPERATIVA DE TRANSPORTADORES DE FRONTINO,TERPEL,Carrera 30 No. 20-85,GASOLINA CORRIENTE OXIGENADA,9456,1,2018-05-03T00:00:00.000
76,valle del cauca,76892,YUMBO,ESTACION DE SERVICIO BIOCAR,BIOMAX,CARRERA 20G No. 14B-171,GASOLINA CORRIENTE OXIGENADA,8728,1,2018-05-03T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,EDS SARATOGA,MOBIL,AVENIDA 6 OESTE No. 37-120-130,BIODIESEL EXTRA,8622,1,2018-05-03T00:00:00.000
5,antioquia,5697,SANTUARIO,ESTACION DE SERVICIO LA AMISTAD DE EL SANTUARIO,TERPEL,Carrera 53 No 45 B - 40,BIODIESEL EXTRA,8479,1,2018-05-03T00:00:00.000
76,valle del cauca,76892,YUMBO,EDS TERPEL AMERICAS YUMBO,TERPEL,CALLE 10 No. 19A-81,BIODIESEL EXTRA,8169,1,2018-05-03T00:00:00.000
5,antioquia,5837,TURBO,SERVICENTRO CASANOVA,TERPEL,SECTOR CASANOVA KILOMETRO 2 VIA TURBO-APARTADO,BIODIESEL EXTRA,8490,1,2018-05-03T00:00:00.000
5,antioquia,5376,LA CEJA,ESTACION DE SERVICIOS LOS TAMBOS,TEXACO,CALLE 20 No. 28-03 05,BIODIESEL EXTRA,8610,1,2018-05-03T00:00:00.000
5,antioquia,5360,ITAGUI,ESTACION DE SERVICIO TEXACO DITAIRES,TEXACO,CALLE 36 No. 59-68,GASOLINA EXTRA OXIGENADA,11790,1,2018-05-03T00:00:00.000
5,antioquia,5615,CANON DE RIO CLARO,ESTACION DE SERVICIO DEALER 1,MOBIL,VARIANTE BELEN,BIODIESEL EXTRA,8512,1,2018-05-03T00:00:00.000
5,antioquia,5147,CAREPA,ZEUSS LAS PLAYAS,ZEUSS,Carrera 80 No. 76-47,GASOLINA CORRIENTE OXIGENADA,9190,1,2018-05-03T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO CIUDAD MODELO,TERPEL,CARRERA 39 No. 32A-10,BIODIESEL EXTRA,8389,1,2018-05-03T00:00:00.000
5,antioquia,5579,PUERTO BERRIO,SERVICENTRO DALLAS,BIOMAX,CALLE 43 No. 24-45 BARRIO LA MALENA,BIODIESEL EXTRA,8090,1,2018-05-03T00:00:00.000
5,antioquia,5021,ALEJANDRIA,EDS ESTACION DE SERVICIO ALEJANDRIA,ZEUSS,CALLE 17 No.. 21-59,GASOLINA CORRIENTE OXIGENADA,9600,1,2018-05-03T00:00:00.000
5,antioquia,5664,SAN PEDRO DE LOS MILAGROS,ESTACION DE SERVICIO SERVICENTRO SAN PEDRO,TERPEL,CARRERA 49 No. 45-20 SAN MATEO LA BOMBA,BIODIESEL EXTRA,8487,1,2018-05-03T00:00:00.000
5,antioquia,5854,VALDIVIA,ESTACION DE SERVICIOS LAS MARGARITAS,TERPEL,KILOMETRO 14 VIA A MEDELLIN,BIODIESEL EXTRA,8267,1,2018-05-03T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO DISTRACOM PEDREGAL,MOBIL,Carrera 64 C No.89 A-30,GASOLINA EXTRA OXIGENADA,11240,1,2018-05-03T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO DISTRACOM SAN CRISTOBAL,MOBIL,CALLE 64 No. 127-75  KILOMETRO 5 CARRETERA AL MAR,GASOLINA CORRIENTE OXIGENADA,8920,1,2018-05-03T00:00:00.000
5,antioquia,5079,BARBOSA,ESTACION DE GASOLINA BARBOSA,ZEUSS,Carrera 17 # 8-60,BIODIESEL EXTRA,8490,1,2018-05-03T00:00:00.000
5,antioquia,5615,CANON DE RIO CLARO,ESTACION DE SERVICIOS TUR,TERPEL,KILOMETRO 4 VEREDA BARRO BLANCO VIA AL AEROPUERTO JMC,BIODIESEL EXTRA,8537,1,2018-05-03T00:00:00.000
5,antioquia,5266,ENVIGADO,ESTACION DE SERVICIO TEXACO ESTRELLA DE ORIENTE,TEXACO,Km 14 Vte Las Palmas,BIODIESEL EXTRA,8853,1,2018-05-03T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,MOBIL BELALCAZAR,MOBIL,Carrera 1 No.43-20,BIODIESEL EXTRA,8540,1,2018-05-03T00:00:00.000
5,antioquia,5308,GIRARDOTA,ESTACION DE SERVICIO ESSO COCOROLLO,MOBIL,Autopista Norte Km. 20 vía Girardota,BIODIESEL EXTRA,8430,1,2018-05-03T00:00:00.000
76,valle del cauca,76364,JAMUNDI,ESTACION DE SERVICIO MOBIL SAN JORGE,MOBIL,CARRERA 10 No. 16 - 36,GASOLINA CORRIENTE OXIGENADA,8990,1,2018-05-03T00:00:00.000
5,antioquia,5756,SONSON,ESTACION DE SERVICIO EL MARMOL,TERPEL,LA DANTA SALIDA A SAN MIGUEL,GASOLINA CORRIENTE OXIGENADA,9450,1,2018-05-03T00:00:00.000
5,antioquia,5107,BRICEÑO,COOTRABRI - COOPERATIVA MULTIACTIVA DE TRANSPORTADORES DE BRICEÑO,ZEUSS,VIA LAS AURAS,BIODIESEL EXTRA,9200,1,2018-05-03T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO SUCRE,TEXACO,Calle 15 No. 13A - 05,GASOLINA EXTRA OXIGENADA,10000,1,2018-05-03T00:00:00.000
76,valle del cauca,76364,JAMUNDI,EDS BRISAS DEL LAGO,PETROMIL,CALLE 12 SUR No. 10A-77,BIODIESEL EXTRA,8470,1,2018-05-03T00:00:00.000
5,antioquia,5088,BELLO,EDS LA GRANJA,TEXACO,VEREDA CUARTAS,GASOLINA EXTRA OXIGENADA,11820,1,2018-05-03T00:00:00.000
