departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO LA MILAGROSA,PETROBRAS,CALLE 22 No. 1-17,GASOLINA EXTRA OXIGENADA,12200,1,2018-05-02T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,EDS SERVICENTRO PASCUAL ANDAGOYA,ZEUSS,CALLE 6 No. 21C-70,BIODIESEL EXTRA,8200,1,2018-05-02T00:00:00.000
76,valle del cauca,76111,GUADALAJARA DE BUGA,EDS AURES,ESSO,CARRERA 24A No. 1 DN-11,BIODIESEL EXTRA,7999,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO UNIVERSIDAD S.A,TEXACO,Carrera 52 No 67 A - 91,GASOLINA EXTRA OXIGENADA,11700,1,2018-05-02T00:00:00.000
76,valle del cauca,76147,CARTAGO,ESTACION DE SERVICIO EL CARMEN,MOBIL,CARRERA 4 No. 15-140,GASOLINA CORRIENTE OXIGENADA,9220,1,2018-05-02T00:00:00.000
76,valle del cauca,76606,RESTREPO,ESTACION DE SERVICIO RESTREPO V,TERPEL,Calle 10 No 13-06,GASOLINA CORRIENTE OXIGENADA,9050,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO MOBIL AMERICAS,MOBIL,Avenida 3 NORTE No 20 N 85,GASOLINA CORRIENTE OXIGENADA,8690,1,2018-05-02T00:00:00.000
76,valle del cauca,76670,SAN PEDRO,ESTACION DE SERVICIO TERPEL EL RECREO,TERPEL,SECTOR EL RECREO LOTE A CRR DE GUAYABAL JURISDICCION DE SAN PEDRO,BIODIESEL EXTRA,8060,1,2018-05-02T00:00:00.000
5,antioquia,5837,TURBO,LA MANUELA,TERPEL,Vía al Mar Currulao,BIODIESEL EXTRA,8540,1,2018-05-02T00:00:00.000
5,antioquia,5148,EL CARMEN DE VIBORAL,ESTACION DE SERVICIOS TERPEL EL CARMEN,TERPEL,CARRERA 31 CL 41-25,GASOLINA CORRIENTE OXIGENADA,9010,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO TERPEL CAÑAVERALEJO,TERPEL,CALLE 5 No. 53A-75,GASOLINA CORRIENTE OXIGENADA,8980,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO SERCOMAS 11 DE CALI,TEXACO,CARRERA 15 No. 19-01,GASOLINA CORRIENTE OXIGENADA,9150,1,2018-05-02T00:00:00.000
76,valle del cauca,76736,SEVILLA,EL SURTIDOR,TERPEL,"Carrera. 48 No. 53-01,",BIODIESEL EXTRA,8950,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,EDS PLAZAS VERDES,TERPEL,Carrera 1 No. 62A - 50,BIODIESEL EXTRA,8340,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,ESSO REGIONAL,MOBIL,CARRERA 48 No. 20-115,GASOLINA CORRIENTE OXIGENADA,9090,1,2018-05-02T00:00:00.000
5,antioquia,5380,LA ESTRELLA,ESTACION DE SERVICIO TERPEL LA ISLA,TERPEL,CARRERA 50 No. 96 SUR - 48,GASOLINA CORRIENTE OXIGENADA,8680,1,2018-05-02T00:00:00.000
5,antioquia,5591,PUERTO TRIUNFO,ESTACION DORADAL,MOBIL,CALLE 20 No. 17 - 102 CORREGIMIENTO DORADAL,GASOLINA EXTRA OXIGENADA,12250,1,2018-05-02T00:00:00.000
5,antioquia,5264,ENTRERRIOS,EDS SAN FRANCISCO,ZEUSS,KILOMETRO 1 VIA ENTRERRIOS - SANTA ROSA,GASOLINA CORRIENTE OXIGENADA,9144,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE TERPEL SERVICIO TERPEL LA AMERICA,TERPEL,CALLE 44 No. 86A-55,GASOLINA EXTRA OXIGENADA,11070,1,2018-05-02T00:00:00.000
5,antioquia,5576,PUEBLORRICO,SERVICENTRO JM,TEXACO,Carrera 26 No. 31-29,GASOLINA CORRIENTE OXIGENADA,9693,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO GREEN EDS LA 70,MOBIL,CALLE 70 No. 5-20,GASOLINA EXTRA OXIGENADA,12410,1,2018-05-02T00:00:00.000
76,valle del cauca,76122,CAICEDONIA,ESTACION DE SERVICIO BUENAVISTA,TERPEL,Carrera 11 No 5 ? 65,BIODIESEL EXTRA,8830,1,2018-05-02T00:00:00.000
76,valle del cauca,76892,YUMBO,EDS TERPEL MENGA,TERPEL,CALLE 10 No. 36 A - 160,GASOLINA EXTRA OXIGENADA,11280,1,2018-05-02T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,ESTACION DE SERVICIO DISTRACOM LITORAL,MOBIL,CALLE 6 A No. 57-58,GASOLINA CORRIENTE OXIGENADA,8960,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,EDS PALERMO CENTRO,PETROBRAS,CARRERA 8 NO. 20-91,GASOLINA CORRIENTE OXIGENADA,8690,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,SERVICENTRO ESSO #10 EL TRONCAL,MOBIL,CRA 8 no 35-55 SERVICENTRO ESSO,GASOLINA CORRIENTE OXIGENADA,8680,1,2018-05-02T00:00:00.000
76,valle del cauca,76130,CANDELARIA,ESTACION DE SERVICIO CAVASA,MOBIL,Kilometro 12 vía a Candelaria,BIODIESEL EXTRA,8271,1,2018-05-02T00:00:00.000
76,valle del cauca,76400,LA UNION,GASOLINERA LAS LAJAS,BIOMAX,CALLE 14 No. 8-49,GASOLINA CORRIENTE OXIGENADA,8885,1,2018-05-02T00:00:00.000
5,antioquia,5615,CANON DE RIO CLARO,ESTACION DE SERVICIO JOSE MARIA CORDOVA,TERPEL,GLORIETA JMC 0.2 KIM VIA GUARNE,GASOLINA EXTRA OXIGENADA,11510,1,2018-05-02T00:00:00.000
5,antioquia,5440,MARINILLA,ESTACION DE SERVICIO CIUDADELA,TERPEL,CALLE 22 CARRERA 51-53,BIODIESEL EXTRA,8440,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL LA 33,TERPEL,CALLE 33 No. 63B-315,GASOLINA EXTRA OXIGENADA,11070,1,2018-05-02T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,COMBUSTIBLES DEL PACIFICO,PETROMIL,KILOMETRO 17 CARRETERA CABAL POMBO,GASOLINA CORRIENTE OXIGENADA,8300,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,AEROTAXI,TEXACO,CARRERA 65 No.. 16A 43,GASOLINA CORRIENTE OXIGENADA,8790,1,2018-05-02T00:00:00.000
76,valle del cauca,76892,YUMBO,ESTACION DE SERVICIO TERPEL CENCAR,TERPEL,Carrera 20H No 14 B- 32,BIODIESEL EXTRA,8150,1,2018-05-02T00:00:00.000
76,valle del cauca,76892,YUMBO,LA GLORIETA,MOBIL,CALLE 15 No. 39-61,BIODIESEL EXTRA,8370,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO TERPEL GRANADA,TERPEL,AVENIDA 8 NORTE No. 14N-36,BIODIESEL EXTRA,8450,1,2018-05-02T00:00:00.000
5,antioquia,5306,GIRALDO,ESTACION DE SERVICIOS MANGLAR,ZEUSS,CARRETERA AL MAR CORREGIMIENTO MANGLAR,GASOLINA CORRIENTE OXIGENADA,9339,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,SERVIAMIGOS,MOBIL,Calle 12 Sur No.50E-56,BIODIESEL EXTRA,8280,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,SERVICENTRO ESSO PANAMERICANA,MOBIL,Calle 34 No. 3-33,GASOLINA CORRIENTE OXIGENADA,8611,1,2018-05-02T00:00:00.000
76,valle del cauca,76147,CARTAGO,ESTACION DE SERVICIO LA SUPER 13,MOBIL,CARRERA 2 No. 33-23,GASOLINA CORRIENTE OXIGENADA,9020,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO TERPEL AMARILLO CREMA,TERPEL,CALLE 70 No. 28D-74,GASOLINA CORRIENTE OXIGENADA,8810,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,ZEUSS EL CAMPESTRE,ZEUSS,Carrera 43 A No.18 Sur 80,BIODIESEL EXTRA,8700,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO LAS AMERICAS,MOBIL,Calle 44 No 80 - 155,GASOLINA CORRIENTE OXIGENADA,9020,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL VILLANUEVA,TERPEL,CARRERA 56 No. 55-29,GASOLINA CORRIENTE OXIGENADA,8600,1,2018-05-02T00:00:00.000
76,valle del cauca,76892,YUMBO,ESTACION DE SERVICIO TEXACO 30 YUMBO,TEXACO,CALLE 15 No. 11F-147,GASOLINA EXTRA OXIGENADA,11810,1,2018-05-02T00:00:00.000
5,antioquia,5318,GUARNE,ESTACION DE SERVICIO TERPEL LA GAROTA,TERPEL,KILOMETRO 19 AUTOPISTA MEDELLIN BOGOTA VEREDA 25 EL ZANGO,GASOLINA CORRIENTE OXIGENADA,8840,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO TERPEL LA CASONA,TERPEL,CARRERA 27 No. T 103-38,GASOLINA CORRIENTE OXIGENADA,9150,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO SAN LORENZO GROUP,TEXACO,CALLE 5 No. 82-15,BIODIESEL EXTRA,8630,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,EDS PASOANCHO,TERPEL,CALLE 13 No. 80-11,BIODIESEL EXTRA,8410,1,2018-05-02T00:00:00.000
5,antioquia,5819,TOLEDO,ESTACION DE SERVICIO GULF ITUANGO,BIOMAX,CORREGIMIENTO EL VALLE,GASOLINA CORRIENTE OXIGENADA,9240,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,EDS GUADALUPE,TEXACO,Calle 14b No. 53.130,GASOLINA CORRIENTE OXIGENADA,8870,1,2018-05-02T00:00:00.000
5,antioquia,5591,PUERTO TRIUNFO,ESTACION DE SERVICIO PUERTO TRIUNFO,TERPEL,VEREDA SANTIAGO BERRIO,BIODIESEL EXTRA,8499,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO LA MILAGROSA,PETROBRAS,CALLE 22 No. 1-17,GASOLINA CORRIENTE OXIGENADA,8890,1,2018-05-02T00:00:00.000
76,valle del cauca,76892,YUMBO,ESTACION DE SERVICIO TERPEL SALENTO,TERPEL,KILOMETRO 5.6 VIA YUMBO - VIJES,GASOLINA EXTRA OXIGENADA,11280,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO LA AVENIDA,TERPEL,Calle 73  No 22 - 22,GASOLINA CORRIENTE OXIGENADA,9150,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO TERPEL TERMINAL CALI,TERPEL,CALLE 30 N No. 2 B - 140  160,GASOLINA CORRIENTE OXIGENADA,8620,1,2018-05-02T00:00:00.000
76,valle del cauca,76122,CAICEDONIA,EL CENTRO,TERPEL,CARRERA 15 No. 6 - 06 y 08,BIODIESEL EXTRA,8830,1,2018-05-02T00:00:00.000
76,valle del cauca,76250,EL DOVIO,ESTACION DE SERVICIO COOTRANSDOVIO,TERPEL,CARRERA 9 No. 8-01,GASOLINA CORRIENTE OXIGENADA,9088,1,2018-05-02T00:00:00.000
76,valle del cauca,76111,GUADALAJARA DE BUGA,EDS GUADALAJARA,TERPEL,CARRERA 12 No. 3 SUR-61,GASOLINA EXTRA OXIGENADA,11490,1,2018-05-02T00:00:00.000
5,antioquia,5266,ENVIGADO,ESSO ENVIGADO,MOBIL,Carrera 43 A No 30 Sur - 9,GASOLINA CORRIENTE OXIGENADA,8930,1,2018-05-02T00:00:00.000
76,valle del cauca,76275,FLORIDA,AUTOSERVICIO LA PORTADA,MOBIL,CALLE 9 No. 30-44,GASOLINA CORRIENTE OXIGENADA,8679,1,2018-05-02T00:00:00.000
76,valle del cauca,76041,ANSERMANUEVO,ESTACION DE SERVICIO EL BORDADO SA,BIOMAX,Verada Gramalote,GASOLINA CORRIENTE OXIGENADA,9040,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTESTACION DE SERVICIO AUTOMOTRIZ COMBUSCOL PLAZA DE TOROS,TEXACO,cll 5 n° 55-00,GASOLINA CORRIENTE OXIGENADA,8990,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO LA AVENIDA,TERPEL,Calle 73  No 22 - 22,BIODIESEL EXTRA,8551,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,OPECOM EDS VILLA DEL PRADO,TERPEL,CARRERA 5 No. 58A-11,GASOLINA EXTRA OXIGENADA,11090,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,DISTRIBUIDORA  MOBIL VALLE DEL LILI LTDA,MOBIL,Calle 25 No.117-128,GASOLINA EXTRA OXIGENADA,12090,1,2018-05-02T00:00:00.000
76,valle del cauca,76100,BOLIVAR,ESTACION DE SERVICIO LA TULIA,PETROMIL,DIAGONAL 4 No. 4-231 LA TULIA,GASOLINA CORRIENTE OXIGENADA,9373,1,2018-05-02T00:00:00.000
76,valle del cauca,76892,YUMBO,ESTACION DE SERVICIO TERPEL SALENTO,TERPEL,KILOMETRO 5.6 VIA YUMBO - VIJES,BIODIESEL EXTRA,8150,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO PANAMERICANA,TERPEL,CALLE 10 NO. 43-11,BIODIESEL EXTRA,8590,1,2018-05-02T00:00:00.000
76,valle del cauca,76318,GUACARI,ESTACION DE SERVICIO EL FARO GUACARI LTDA,PETROMIL,CARRETERA PANAMERICANA GUACARI A B 0-8 LA VARIANTE,GASOLINA EXTRA OXIGENADA,8905,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,EDS PORVENIR AV SIMON BOLIVAR,MOBIL,CALLE 36 No. 39 A - 66,BIODIESEL EXTRA,8250,1,2018-05-02T00:00:00.000
76,valle del cauca,76248,EL CERRITO,ESTACION DE SERVICIO EL PARAISO,TERPEL,Variante Carretera Central,GASOLINA EXTRA OXIGENADA,11780,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO LA NUEVA AUTOPISTA,TEXACO,Diagonal 23 No. 18 E - 120,BIODIESEL EXTRA,8590,1,2018-05-02T00:00:00.000
5,antioquia,5697,SANTUARIO,ESTACION DE SERVICIO AUTOMOTRIZ CENTRO INTEGRADO DE SERVICIOS EL VERGEL,ZEUSS,CR 43  47 17,GASOLINA CORRIENTE OXIGENADA,8980,1,2018-05-02T00:00:00.000
76,valle del cauca,76126,CALIMA (DARIEN),ESTACION DE SERVICIO CENTRO DE SERVICIOS LA FONTANA SAS,PETROMIL,CARRERA 7 CALLE 17 ESQUINA,GASOLINA CORRIENTE OXIGENADA,8920,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO DELFINES,TEXACO,Calle 6 sur No 52 - 65,GASOLINA CORRIENTE OXIGENADA,8989,1,2018-05-02T00:00:00.000
5,antioquia,5147,CAREPA,ESTACION DE SERVICIO LA PONDEROSA,PETROMIL,CARRERA 80 82 No. 31-49,BIODIESEL EXTRA,8420,1,2018-05-02T00:00:00.000
5,antioquia,5670,SAN ROQUE,ESTACION DE SERVICIO GASOLINERA LAS VEGAS,ZEUSS,CALLE 22 No. 18-22,BIODIESEL EXTRA,8670,1,2018-05-02T00:00:00.000
5,antioquia,5615,CANON DE RIO CLARO,ESTACION DE SERVICIO COMBUSTIBLES GALAXIA,MOBIL,Carrera 48 No.52-02,GASOLINA EXTRA OXIGENADA,11600,1,2018-05-02T00:00:00.000
5,antioquia,5591,PUERTO TRIUNFO,ESTACION DORADAL,MOBIL,CALLE 20 No. 17 - 102 CORREGIMIENTO DORADAL,GASOLINA CORRIENTE OXIGENADA,9350,1,2018-05-02T00:00:00.000
5,antioquia,5172,CHIGORODO,ESTACION DE SERVICIOS LINARES,TERPEL,Calle 95 No 98 - 05,GASOLINA CORRIENTE OXIGENADA,9110,1,2018-05-02T00:00:00.000
5,antioquia,5250,EL BAGRE,EDS EL CARMEN EL BAGRE,TERPEL,CARRERA 41 No. 33-60,GASOLINA CORRIENTE OXIGENADA,8900,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL MAYORAL,TERPEL,CARRERA 81 No. 30 A 37,BIODIESEL EXTRA,8340,1,2018-05-02T00:00:00.000
5,antioquia,5266,ENVIGADO,EDS TEXACO 10 ENVIGADO,TEXACO,CALLE 33 SUR No 43-33,GASOLINA CORRIENTE OXIGENADA,9097,1,2018-05-02T00:00:00.000
5,antioquia,5376,LA CEJA,ESTACION DE SERVICIO EL ENCIERRO,TERPEL,PR INICIAL K 4 MAS 186 MARGEN IZQUIERDA DE LA VIA LA CEJA-RIONEGRO RUTA 56AN03,GASOLINA EXTRA OXIGENADA,11325,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO LAS AMERICAS,MOBIL,Calle 44 No 80 - 155,GASOLINA EXTRA OXIGENADA,11890,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO TERPEL AMARILLO CREMA,TERPEL,CALLE 70 No. 28D-74,BIODIESEL EXTRA,8350,1,2018-05-02T00:00:00.000
76,valle del cauca,76520,PALMIRA,ESTACION DE SERVICIO COODETRANS LA MARIA,TERPEL,CRA 32 No. 19-72,GASOLINA CORRIENTE OXIGENADA,8830,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,TEXACO PRADO,TEXACO,CALLE 57 No. 51D-36,GASOLINA EXTRA OXIGENADA,11850,1,2018-05-02T00:00:00.000
5,antioquia,5607,EL RETIRO,ESTACIÓN DE SERVICIOS SAN LUIS EL ESCOBERO,TEXACO,PARCELACION SAN LUIS CIUDADELA CAMPESTRE SECTOR INFERIOR ESTACION DE SERVICIO VEREDA LAS PALMAS ALTO DE SAN LUIS,GASOLINA CORRIENTE OXIGENADA,9280,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO AUTOMOTRIZ MOBIL LAS PALMAS,MOBIL,Calle 25 No.10-16,BIODIESEL EXTRA,8560,1,2018-05-02T00:00:00.000
5,antioquia,5893,YONDO,ESTACION DE SERVICOS CONDOR,TERPEL,KR 57 No 48-85,BIODIESEL EXTRA,8240,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,EDS TERPEL CHIPICHAPE,TERPEL,Avenida 6 N No. 37 N - 12,GASOLINA CORRIENTE OXIGENADA,8610,1,2018-05-02T00:00:00.000
76,valle del cauca,76147,CARTAGO,SERVICENTRO ESSO EL MARISCAL,MOBIL,CALLE 1 No. 1E-175,BIODIESEL EXTRA,8537,1,2018-05-02T00:00:00.000
5,antioquia,5607,EL RETIRO,ESTACION TEXACO CALIFORNIA,TEXACO,KILOMETRO 0 MAS 40 DON DIEGO,BIODIESEL EXTRA,8620,1,2018-05-02T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,SERVICENTRO CALIMAR,MOBIL,CALLE 6 No. 19B-60,GASOLINA CORRIENTE OXIGENADA,8908,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO TERPEL GRANADA,TERPEL,AVENIDA 8 NORTE No. 14N-36,GASOLINA CORRIENTE OXIGENADA,8660,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO GAS Y COM AUTO 15,ESSO,DIAGONAL 23 No.15-15,GASOLINA CORRIENTE OXIGENADA,8590,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,GREEN EDS PORTAL DEL SUR,MOBIL,CALLE 25 No. 93-75,BIODIESEL EXTRA,9250,1,2018-05-02T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,ESTACION DE SERVICIO DISTRACOM LITORAL,MOBIL,CALLE 6 A No. 57-58,BIODIESEL EXTRA,8325,1,2018-05-02T00:00:00.000
76,valle del cauca,76622,ROLDANILLO,SERVINORTE,TERPEL,CLL 9 2-02,GASOLINA CORRIENTE OXIGENADA,9040,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,TERPEL PALENQUE,TERPEL,CALLE 68 No. 86 - 26,BIODIESEL EXTRA,8365,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO SAN LORENZO GROUP,TEXACO,CALLE 5 No. 82-15,GASOLINA EXTRA OXIGENADA,11950,1,2018-05-02T00:00:00.000
5,antioquia,5667,SAN RAFAEL,DISTRIBUIDORA DE COMBUSTIBLES RAMIRO,TERPEL,CALLE 18 No. 28 - 241,GASOLINA CORRIENTE OXIGENADA,9600,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,EDS GUADALUPE,TEXACO,Calle 14b No. 53.130,BIODIESEL EXTRA,8540,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO LAS PILAS,TEXACO,CALLE 13 No. 53-44,BIODIESEL EXTRA,8630,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL CARRERA 80 - 81,TERPEL,CALLE 5 SUR No. 51-85,GASOLINA CORRIENTE OXIGENADA,8600,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL LA 33,TERPEL,CALLE 33 No. 63B-315,GASOLINA CORRIENTE OXIGENADA,8600,1,2018-05-02T00:00:00.000
5,antioquia,5042,SANTA FE DE ANTIOQUIA,ESTACION DE SERVICIO TERPEL SANTA FE DE ANTIOQUIA,TERPEL,PARAJE EL PASO REAL SANTAFE DE ANTIOQUIA,GASOLINA EXTRA OXIGENADA,11070,1,2018-05-02T00:00:00.000
5,antioquia,5591,PUERTO TRIUNFO,ESTACION DE SERVICIO LUIS LOZANO,TERPEL,"Cra. 19 y 18ª entre calles 29 y 30 Mz 25, Corregimiento Pto. Perales",GASOLINA CORRIENTE OXIGENADA,9000,1,2018-05-02T00:00:00.000
76,valle del cauca,76622,ROLDANILLO,SERVINORTE,TERPEL,CLL 9 2-02,GASOLINA EXTRA OXIGENADA,11890,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO SERVITECA LA 44,BIOMAX,CARRERA 44 No. 16-05,GASOLINA CORRIENTE OXIGENADA,8790,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,EDS ESSO AVENIDA ORIENTAL,MOBIL,CALLE 41 No. 46-11,GASOLINA CORRIENTE OXIGENADA,8580,1,2018-05-02T00:00:00.000
5,antioquia,5360,ITAGUI,ESTACION DE SERVICIO DEL SUR MEDELLIN,MOBIL,CARRERA 42 No.. 29A-25,GASOLINA EXTRA OXIGENADA,11950,1,2018-05-02T00:00:00.000
5,antioquia,5266,ENVIGADO,ESTACION DE SERVICIOS PREMIUM LA SEBASTIANA,TEXACO,CARRERA 27 No. 36 SUR-199,GASOLINA CORRIENTE OXIGENADA,9080,1,2018-05-02T00:00:00.000
5,antioquia,5088,BELLO,CONCRETOS Y ASFALTOS SA CONASFALTOS SA,TERPEL,DIAGONAL 51 NO 15 A -161,GASOLINA CORRIENTE OXIGENADA,6042,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,SESCO,TERPEL,Calle 34 No. 2BN - 87 Cali,GASOLINA CORRIENTE OXIGENADA,9150,1,2018-05-02T00:00:00.000
76,valle del cauca,76147,CARTAGO,EDS DISTRIBUCIONES LA 20 CARTAGO,TERPEL,Carrera 4 No. 19-83,GASOLINA CORRIENTE OXIGENADA,8940,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO BUENO MADRID,TERPEL,CALLE 34 No. 3N-158,BIODIESEL EXTRA,8490,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL LA RAYA,TERPEL,CARRERA 52 No. 14 SUR-04,BIODIESEL EXTRA,8290,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,EDS CENTRO AUTOMOTRIZ,TERPEL,CARRERA 43B No. 19A-61,BIODIESEL EXTRA,8430,1,2018-05-02T00:00:00.000
5,antioquia,5148,EL CARMEN DE VIBORAL,ESTACION DE SERVICIOS QUIRAMA,TERPEL,VIA LA CEJA - RIONEGRO KILOMETRO 11,GASOLINA EXTRA OXIGENADA,11480,1,2018-05-02T00:00:00.000
5,antioquia,5400,LA UNION,ESTACION DE SERVICIOS LA UNION,ZEUSS,Calle 9 No.3-41,GASOLINA CORRIENTE OXIGENADA,9180,1,2018-05-02T00:00:00.000
5,antioquia,5604,REMEDIOS,ESTACION DE SERVICIO CAÑAVERAL,ZEUSS,Vereda Cañaveral,BIODIESEL EXTRA,8908,1,2018-05-02T00:00:00.000
5,antioquia,5360,ITAGUI,ESTACION DE SERVICIOS LA SANTA MARIA,MOBIL,CARRERA 50A No. 38-49,GASOLINA CORRIENTE OXIGENADA,8590,1,2018-05-02T00:00:00.000
5,antioquia,5615,CANON DE RIO CLARO,ESTACION DE SERVICIO COMBUSTIBLES GALAXIA,MOBIL,Carrera 48 No.52-02,GASOLINA CORRIENTE OXIGENADA,9150,1,2018-05-02T00:00:00.000
5,antioquia,5001,MEDELLIN,SERVICENTRO ESSO PALMAS,ZEUSS,Carrera 38 No 19 - 16,GASOLINA CORRIENTE OXIGENADA,9290,1,2018-05-02T00:00:00.000
5,antioquia,5360,ITAGUI,ESTACION TERPEL CENTRAL  MAYORISTA,TERPEL,Calle 84 A No. 46A-30,BIODIESEL EXTRA,8390,1,2018-05-02T00:00:00.000
76,valle del cauca,76520,PALMIRA,EDS TERPEL PALMIRA,TERPEL,CALLE 42 CARRERA 43 ESQUINA,GASOLINA CORRIENTE OXIGENADA,8650,1,2018-05-02T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,EDS PASOANCHO,TERPEL,CALLE 13 No. 80-11,GASOLINA EXTRA OXIGENADA,11270,1,2018-05-02T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,ESTACION DE SERVICIO SERVICENTRO DEL 14 LTDA,MOBIL,CALLE 6A No. 39-11,BIODIESEL EXTRA,8275,1,2018-05-02T00:00:00.000
76,valle del cauca,76109,BUENAVENTURA,EDS EL RETORNO DE CHUSACA,MOBIL,CARRERA CABAL PONBO LA MARIA PARAJE KILOMETRO 15,GASOLINA CORRIENTE OXIGENADA,8990,1,2018-05-02T00:00:00.000
